address,area,direction,floornumber,furniture,numBath,numBed,numFloor,price,price_m2,type,type_detail,url
"Đường Ngọc Đại, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",170.0,Nam,,Nội thất cao cấp,3,4,1,4.3,0.02529,Căn hộ/Chung cư,Duplex,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/88195234.htm
"Đường Lê Văn Lương, Phường La Khê, Quận Hà Đông, Hà Nội",74.0,Tây Bắc,,Nội thất cao cấp,2,2,1,1.65,0.0223,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89643474.htm
"Đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",48.0,Tây Bắc,5,Nội thất cao cấp,1,2,1,0.99,0.02063,Căn hộ/Chung cư,Căn hộ dịch vụ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/89352400.htm
"Đường Tố Hữu, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",62.0,Tây Nam,,Nội thất cao cấp,2,2,1,1.38,0.02226,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89643915.htm
"Đường Lê Văn Lương, Phường La Khê, Quận Hà Đông, Hà Nội",75.0,,,Nội thất đầy đủ,2,2,1,1.7,0.02267,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89644379.htm
"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",88.0,Đông Nam,,Nội thất cao cấp,2,2,1,4.2,0.04773,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-can-ho-chung-cu/89644545.htm
"KĐT Nam Thăng Long, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",92.0,Bắc,,Hoàn thiện cơ bản,2,3,1,0.0168,182.608 đ/m²,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-can-ho-chung-cu/86530632.htm
"Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",82.0,,,,3,3,1,1.56,0.01902,Căn hộ/Chung cư,Tập thể,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/89645741.htm
"Đường Nguyễn Văn Lộc, Phường Mộ Lao, Quận Hà Đông, Hà Nội",72.0,,7,Nội thất đầy đủ,1,2,1,1.7,0.02361,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89555287.htm
,111.0,Tây Bắc,24,Nội thất đầy đủ,2,3,1,2.7,0.02432,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/89647790.htm
"Đường Quốc Lộ 5, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",31.0,Đông Nam,,Hoàn thiện cơ bản,1,1,1,0.85,0.02742,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/huyen-gia-lam/mua-ban-can-ho-chung-cu/88708359.htm
"Đường Thượng Đình, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",55.0,Tây,,Nội thất cao cấp,2,2,1,0.47,0.00855,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-can-ho-chung-cu/89648356.htm
"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",41.0,,,,,2,1,1.45,0.03537,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ba-dinh/mua-ban-can-ho-chung-cu/88774652.htm
"Đường Nguyễn Chánh, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",148.0,,,,3,3,1,6.4,0.04324,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/89281147.htm
"156, Đường Kim Liên, Phường Quang Trung, Quận Đống Đa, Hà Nội",30.0,,,Nội thất đầy đủ,1,1,1,0.5,0.01667,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/89649636.htm
"Đường Nam Trung Yên, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",115.0,,9,Nội thất đầy đủ,2,2,1,2.8,0.02435,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/89649857.htm
"203, 203 Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",85.0,Đông Bắc,,Nội thất cao cấp,2,3,1,3.2,0.03765,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-can-ho-chung-cu/89653782.htm
"113, ngõ 299, Đường Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",110.0,Tây,10,Nội thất đầy đủ,2,3,1,3.1,0.02818,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/88951489.htm
"Đường Nguyễn Văn Huyên, Phường Xuân La, Quận Tây Hồ, Hà Nội",95.0,,,,2,2,1,3.9,0.04105,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-can-ho-chung-cu/89066930.htm
"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",92.0,,31,,,2,1,3.9,0.04239,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/89658014.htm
"Đông Tác, Phường Kim Liên, Quận Đống Đa, Hà Nội",40.0,,,Nội thất đầy đủ,1,1,1,0.75,0.01875,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/89662437.htm
"Đường Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",45.0,,,,1,2,1,0.68,0.01511,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/89662797.htm
"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",30.0,,6,,1,1,1,0.56,0.01867,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ba-dinh/mua-ban-can-ho-chung-cu/84230836.htm
,66.29,,,,2,2,1,1.9,0.02879,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-can-ho-chung-cu/89663034.htm
"Đường Quốc lộ 70, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",42.0,Tây Bắc,20,Nội thất cao cấp,1,1,1,0.71,0.0169,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/huyen-thanh-tri/mua-ban-can-ho-chung-cu/89666258.htm
"279 Đường Hoàng Mai, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",76.0,Tây Bắc,27,Nội thất cao cấp,2,2,1,2.525482248,0.03323,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-can-ho-chung-cu/89666328.htm
"Đường Nguyễn Trãi, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",50.0,,,Nội thất đầy đủ,1,1,1,0.5,0.01,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-can-ho-chung-cu/89314157.htm
"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",52.0,Đông Bắc,7,Nội thất đầy đủ,1,2,1,1.15,0.02212,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ba-dinh/mua-ban-can-ho-chung-cu/88674848.htm
"Đường Tô Hiệu, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",45.0,,3,,1,1,1,1.29,0.02867,Căn hộ/Chung cư,Tập thể,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/89666883.htm
"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",70.0,Đông Bắc,,,2,2,1,1.38,0.01971,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-can-ho-chung-cu/89669070.htm
"Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",65.0,,,,2,2,1,1.38,0.02123,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89565226.htm
"Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",64.0,,,Nội thất đầy đủ,2,2,1,1.12,0.0175,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89669382.htm
"Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",63.0,Đông Bắc,,,1,2,1,1.26,0.02,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89669615.htm
"Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",50.0,,,,1,1,1,1.6,0.032,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-can-ho-chung-cu/89460365.htm
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",55.0,Tây Bắc,,Nội thất đầy đủ,2,2,1,0.6,0.01091,Căn hộ/Chung cư,Căn hộ dịch vụ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-can-ho-chung-cu/89670506.htm
"59, Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",30.0,,3,Nội thất đầy đủ,1,1,1,0.56,0.01867,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/88485752.htm
"47, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",120.0,,,Nội thất cao cấp,3,3,1,4.9,0.04083,Căn hộ/Chung cư,Penthouse,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-can-ho-chung-cu/89559649.htm
"Khu đô thị Nam Thăng Long, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",83.0,Nam,,Bàn giao thô,2,2,1,2.999999999,0.03614,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-can-ho-chung-cu/89641651.htm
"LH chính chủ: 0912380760, Đường Trường Sa, Xã Đông Hội, Huyện Đông Anh, Hà Nội",99.0,,,,2,3,1,2.85,0.02879,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/huyen-dong-anh/mua-ban-can-ho-chung-cu/89675779.htm
"97, 97 Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",349.0,Đông,,,4,4,1,10.0,0.02865,Căn hộ/Chung cư,Duplex,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/86708052.htm
"Khu nhà b9 đại kim, Đường Nguyễn Cảnh Dị, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",62.0,,8,Hoàn thiện cơ bản,1,2,1,1.55,0.025,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-can-ho-chung-cu/89683339.htm
"Đường Tố Hữu, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",56.0,Tây Bắc,,Nội thất cao cấp,1,2,1,1.23,0.02196,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89683878.htm
"Đường Tân Xuân, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",67.0,Đông Nam,5,Nội thất đầy đủ,2,2,1,1.78,0.02657,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-can-ho-chung-cu/89612501.htm
"15, Đường Tố Hữu, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",106.0,Đông Nam,25,,2,2,1,0.024,226.415 đ/m²,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-can-ho-chung-cu/89684483.htm
"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",55.0,Đông Nam,,Nội thất đầy đủ,1,2,1,1.9,0.03455,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/89687178.htm
"đường Mễ Trì, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",216.0,Đông Nam,15,Nội thất cao cấp,4,4,1,7.8,0.03611,Căn hộ/Chung cư,Duplex,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/88500756.htm
"Số 30, Số 30 Đường Trần Hữu Dực, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",133.0,Tây Nam,6,Nội thất cao cấp,2,3,1,0.0331,248.872 đ/m²,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/88233864.htm
"Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",77.6,,,,2,3,1,1.65,0.02143,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-can-ho-chung-cu/89687778.htm
"Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",93.0,,,,2,3,1,4.8,0.05161,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/89034482.htm
"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",28.0,Đông Bắc,,Hoàn thiện cơ bản,1,1,1,0.98,0.035,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/89687986.htm
"110, 110 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",65.0,Đông,,,2,2,1,2.85,0.04385,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/89688085.htm
"Đường Lê Trọng Tấn, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",70.0,Tây Bắc,,,2,2,1,1.22,0.01743,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89688340.htm
"Số 79, Số 79 Đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",88.4,Đông Nam,,Nội thất đầy đủ,2,3,1,2.69,0.03057,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-can-ho-chung-cu/89269289.htm
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",42.0,,,,1,1,1,0.65,0.01548,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-can-ho-chung-cu/87625271.htm
"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",54.3,Đông Nam,,Nội thất đầy đủ,2,2,1,1.25,0.02315,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-can-ho-chung-cu/89688853.htm
"Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",45.0,,,,1,2,1,0.78,0.01733,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/83913305.htm
"Khu đô thị Nam Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội",81.6,Tây Nam,25,Nội thất cao cấp,2,2,1,1.55,0.01914,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-can-ho-chung-cu/89689895.htm
"2, 2 Đường Phạm Văn Bạch, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",99.0,,,Nội thất đầy đủ,2,3,1,5.2,0.05253,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/89690101.htm
